daily_incremental_imps_pool,rqvae_id,proxy_ctr,proxy_cvr_ab,proxy_cvr_abpro,proxy_cvr_pay,proxy_p_ab,normalized_proxy_p_ab,avg_time_to_first_ab,median_time_to_first_ab,prod_id,comp_id,ipv_roi_自然,normalized_ipv_roi_自然,crt_time,prod_name,real_imps,real_ab,base_time_to_first_ab,is_broken_zero,imps_needed_to_break,imps_needed_to_break_xiuzheng,normalized_imps_needed_to_break,priority_score,rn
91905,RQ_000,0.1138,0.013,0.0046,0.0011,0.14794,0.162182,30.1,29.19,PROD_000000,COMP_0007,16.59,16.89,2026-03-09 20:07:54,商品_0_4527,287,2,0.0,0,73,86,68.92,188.18,1
91905,RQ_003,0.023,0.0057,0.0255,0.0061,0.01311,0.014721,187.4,181.46,PROD_000001,COMP_0021,22.03,22.19,2026-04-06 20:07:54,商品_1_6820,2075,18,175.97,1,108,103,103.45,221.15,2
91905,RQ_008,0.1083,0.0345,0.0026,0.0064,0.373635,0.378737,102.05,78.45,PROD_000002,COMP_0013,7.72,7.66,2026-03-17 20:07:54,商品_2_9179,350,11,70.49,0,170,142,180.94,118.61,3
91905,RQ_014,0.03,0.0078,0.0225,0.0054,0.0234,0.025712,126.29,66.01,PROD_000003,COMP_0025,13.14,13.36,2026-04-29 20:07:54,商品_3_1188,1244,15,84.3,1,223,202,207.84,137.13,4
91905,RQ_017,0.1151,0.0387,0.0105,0.003,0.445437,0.384529,204.21,159.63,PROD_000004,COMP_0007,0.6,0.63,2026-04-21 20:07:54,商品_4_1319,445,24,137.95,0,359,414,337.38,48.98,5
91905,RQ_011,0.133,0.0418,0.0096,0.0007,0.55594,0.64,87.31,118.99,PROD_000005,COMP_0007,28.44,26.08,2026-04-10 20:07:54,商品_5_7118,65,4,102.9,0,295,270,296.63,327.35,6
91905,RQ_016,0.0732,0.0131,0.0024,0.0003,0.095892,0.09796,114.56,100.83,PROD_000006,COMP_0028,17.86,16.1,2026-04-11 20:07:54,商品_6_4119,440,5,136.18,0,243,241,242.29,171.56,7
91905,RQ_003,0.1023,0.0184,0.0126,0.0087,0.188232,0.154664,51.2,46.14,PROD_000007,COMP_0006,19.78,20.36,2026-05-12 20:07:54,商品_7_9856,127,1,39.09,0,71,63,66.51,222.15,8
91905,RQ_002,0.1397,0.0426,0.0054,0.0049,0.595122,0.52698,129.38,74.61,PROD_000008,COMP_0000,12.33,11.24,2026-03-30 20:07:54,商品_8_1936,2836,137,86.85,1,251,375,253.8,169.79,9
91905,RQ_018,0.0768,0.046,0.0162,0.0007,0.35328,0.354386,56.4,37.87,PROD_000009,COMP_0003,25.61,23.4,2026-05-14 20:07:54,商品_9_5915,296,18,40.19,0,82,89,83.37,271.6,10
91905,RQ_010,0.1401,0.0469,0.0008,0.0062,0.657069,0.673625,94.52,96.29,PROD_000010,COMP_0029,3.45,3.48,2026-05-13 20:07:54,商品_10_2697,450,18,105.88,0,128,141,129.11,102.45,11
91905,RQ_008,0.0262,0.0062,0.0168,0.0028,0.016244,0.016925,123.24,124.28,PROD_000011,COMP_0008,21.67,20.39,2026-03-04 20:07:54,商品_11_2232,47,0,125.14,0,322,267,311.28,205.01,12
91905,RQ_017,0.015,0.0191,0.0168,0.0044,0.02865,0.023399,145.57,160.83,PROD_000012,COMP_0009,11.26,12.24,2026-04-11 20:07:54,商品_12_1406,341,4,175.83,0,430,610,421.95,128.39,13
91905,RQ_010,0.1195,0.0212,0.0203,0.0074,0.25334,0.22782,72.27,85.84,PROD_000013,COMP_0011,5.2,5.41,2026-04-03 20:07:54,商品_13_9346,418,16,87.38,0,120,164,128.91,74.67,14
91905,RQ_017,0.0564,0.0024,0.0264,0.0027,0.013536,0.013972,124.51,140.03,PROD_000014,COMP_0025,29.51,26.78,2026-03-15 20:07:54,商品_14_6967,4689,7,119.49,1,328,306,298.11,271.07,15
91905,RQ_002,0.1428,0.0461,0.0189,0.0067,0.658308,0.559463,133.71,145.42,PROD_000015,COMP_0027,27.05,27.09,2026-05-03 20:07:54,商品_15_6279,98,5,130.03,0,370,471,399.81,321.85,16
91905,RQ_014,0.0719,0.0115,0.0145,0.009,0.082685,0.092476,133.41,96.71,PROD_000016,COMP_0029,5.51,5.05,2026-05-18 20:07:54,商品_16_7291,344,3,107.32,0,270,243,245.5,59.3,17
91905,RQ_012,0.0442,0.0331,0.0007,0.0075,0.146302,0.162105,82.91,56.99,PROD_000017,COMP_0031,3.64,3.59,2026-04-23 20:07:54,商品_17_7991,285,8,56.38,0,147,164,155.86,56.61,18
