group_id,big_chunk_string
GROUP_0000,91905一RQ_000一0.1138一0.013一0.0046一0.0011一0.14794一0.162182一30.1一29.19一PROD_000000一COMP_0007一16.59一16.89一2026-03-09 20:07:54一商品_0_4527一287一2一0一0一73一86一68.92一188.18一1二91905一RQ_003一0.023一0.0057一0.0255一0.0061一0.01311一0.014721一187.4一181.46一PROD_000001一COMP_0021一22.03一22.19一2026-04-06 20:07:54一商品_1_6820一2075一18一175.97一1一108一103一103.45一221.15一2二91905一RQ_008一0.1083一0.0345一0.0026一0.0064一0.373635一0.378737一102.05一78.45一PROD_000002一COMP_0013一7.72一7.66一2026-03-17 20:07:54一商品_2_9179一350一11一70.49一0一170一142一180.94一118.61一3二91905一RQ_014一0.03一0.0078一0.0225一0.0054一0.0234一0.025712一126.29一66.01一PROD_000003一COMP_0025一13.14一13.36一2026-04-29 20:07:54一商品_3_1188一1244一15一84.3一1一223一202一207.84一137.13一4二91905一RQ_017一0.1151一0.0387一0.0105一0.003一0.445437一0.384529一204.21一159.63一PROD_000004一COMP_0007一0.6一0.63一2026-04-21 20:07:54一商品_4_1319一445一24一137.95一0一359一414一337.38一48.98一5二91905一RQ_011一0.133一0.0418一0.0096一0.0007一0.55594一0.64一87.31一118.99一PROD_000005一COMP_0007一28.44一26.08一2026-04-10 20:07:54一商品_5_7118一65一4一102.9一0一295一270一296.63一327.35一6二91905一RQ_016一0.0732一0.0131一0.0024一0.0003一0.095892一0.09796一114.56一100.83一PROD_000006一COMP_0028一17.86一16.1一2026-04-11 20:07:54一商品_6_4119一440一5一136.18一0一243一241一242.29一171.56一7二91905一RQ_003一0.1023一0.0184一0.0126一0.0087一0.188232一0.154664一51.2一46.14一PROD_000007一COMP_0006一19.78一20.36一2026-05-12 20:07:54一商品_7_9856一127一1一39.09一0一71一63一66.51一222.15一8二91905一RQ_002一0.1397一0.0426一0.0054一0.0049一0.595122一0.52698一129.38一74.61一PROD_000008一COMP_0000一12.33一11.24一2026-03-30 20:07:54一商品_8_1936一2836一137一86.85一1一251一375一253.8一169.79一9二91905一RQ_018一0.0768一0.046一0.0162一0.0007一0.35328一0.354386一56.4一37.87一PROD_000009一COMP_0003一25.61一23.4一2026-05-14 20:07:54一商品_9_5915一296一18一40.19一0一82一89一83.37一271.6一10
GROUP_0001,91905一RQ_010一0.1401一0.0469一0.0008一0.0062一0.657069一0.673625一94.52一96.29一PROD_000010一COMP_0029一3.45一3.48一2026-05-13 20:07:54一商品_10_2697一450一18一105.88一0一128一141一129.11一102.45一11二91905一RQ_008一0.0262一0.0062一0.0168一0.0028一0.016244一0.016925一123.24一124.28一PROD_000011一COMP_0008一21.67一20.39一2026-03-04 20:07:54一商品_11_2232一47一0一125.14一0一322一267一311.28一205.01一12二91905一RQ_017一0.015一0.0191一0.0168一0.0044一0.02865一0.023399一145.57一160.83一PROD_000012一COMP_0009一11.26一12.24一2026-04-11 20:07:54一商品_12_1406一341一4一175.83一0一430一610一421.95一128.39一13二91905一RQ_010一0.1195一0.0212一0.0203一0.0074一0.25334一0.22782一72.27一85.84一PROD_000013一COMP_0011一5.2一5.41一2026-04-03 20:07:54一商品_13_9346一418一16一87.38一0一120一164一128.91一74.67一14二91905一RQ_017一0.0564一0.0024一0.0264一0.0027一0.013536一0.013972一124.51一140.03一PROD_000014一COMP_0025一29.51一26.78一2026-03-15 20:07:54一商品_14_6967一4689一7一119.49一1一328一306一298.11一271.07一15二91905一RQ_002一0.1428一0.0461一0.0189一0.0067一0.658308一0.559463一133.71一145.42一PROD_000015一COMP_0027一27.05一27.09一2026-05-03 20:07:54一商品_15_6279一98一5一130.03一0一370一471一399.81一321.85一16二91905一RQ_014一0.0719一0.0115一0.0145一0.009一0.082685一0.092476一133.41一96.71一PROD_000016一COMP_0029一5.51一5.05一2026-05-18 20:07:54一商品_16_7291一344一3一107.32一0一270一243一245.5一59.3一17二91905一RQ_012一0.0442一0.0331一0.0007一0.0075一0.146302一0.162105一82.91一56.99一PROD_000017一COMP_0031一3.64一3.59一2026-04-23 20:07:54一商品_17_7991一285一8一56.38一0一147一164一155.86一56.61一18二91905一RQ_014一0.1356一0.0374一0.0145一0.0027一0.507144一0.45587一134.02一93.56一PROD_000018一COMP_0035一19.31一20.34一2026-04-28 20:07:54一商品_18_8633一365一12一108.19一0一127一130一128.02一251.05一19二91905一RQ_001一0.039一0.0216一0.0272一0.0059一0.08424一0.090828一70.01一79.32一PROD_000019一COMP_0026一25.77一27.14一2026-03-11 20:07:54一商品_19_8657一3932一111一87.06一1一203一276一219.15一279.37一20
GROUP_0002,91905一RQ_019一0.0848一0.0454一0.018一0.0067一0.384992一0.320921一56.24一51.33一PROD_000020一COMP_0008一13.14一14.1一2026-03-18 20:07:54一商品_20_2124一3177一145一57.26一1一154一153一167.9一175.58一21二91905一RQ_000一0.1429一0.0108一0.0011一0.0016一0.154332一0.131258一80.85一72.73一PROD_000021一COMP_0002一20.25一20.51一2026-04-09 20:07:54一商品_21_4249一310一4一62.69一0一148一130一157.45一216.35一22二91905一RQ_018一0.1067一0.0317一0.0035一0.0077一0.338239一0.385632一239.35一161.3一PROD_000022一COMP_0004一18.21一16.83一2026-03-12 20:07:54一商品_22_9548一3535一67一177.58一1一376一304一369.99一210.78一23二91905一RQ_019一0.1231一0.0274一0.0148一0.0044一0.337294一0.368464一133.07一190.01一PROD_000023一COMP_0017一8.42一9.01一2026-05-18 20:07:54一商品_23_5526一384一12一154.61一0一313一333一283.5一129.92一24二91905一RQ_000一0.0823一0.0104一0.0076一0.0041一0.085592一0.087481一152.33一97.16一PROD_000024一COMP_0035一7.59一7.55一2026-03-29 20:07:54一商品_24_5118一2315一26一136.78一1一151一190一147.04一84.75一25二91905一RQ_003一0.111一0.0165一0.0224一0.0095一0.18315一0.197081一86.67一82.63一PROD_000025一COMP_0014一6.15一6.44一2026-05-10 20:07:54一商品_25_9042一1323一38一71.47一1一88一92一84.52一79.65一26二91905一RQ_000一0.0904一0.024一0.0135一0.0019一0.21696一0.178027一165.66一114.14一PROD_000026一COMP_0006一28.26一28.13一2026-04-16 20:07:54一商品_26_8253一77一1一153.32一0一292一295一320.84一302.01一27二91905一RQ_018一0.1486一0.016一0.0188一0.0061一0.23776一0.260593一77.82一48.96一PROD_000027一COMP_0019一28.45一26.79一2026-03-23 20:07:54一商品_27_4241一282一2一61.65一0一31一34一31.58一295.99一28二91905一RQ_003一0.0862一0.0327一0.0273一0.0083一0.281874一0.233551一170.59一124.29一PROD_000028一COMP_0027一5.39一5.18一2026-03-01 20:07:54一商品_28_4750一239一11一142.34一0一320一467一320.03一74.48一29二91905一RQ_018一0.1431一0.05一0.0203一0.0028一0.7155一0.583914一184.09一103.32一PROD_000029一COMP_0036一22.81一22.68一2026-04-29 20:07:54一商品_29_1601一4528一442一127.73一1一213一231一205.38一285.15一30
GROUP_0003,91905一RQ_002一0.054一0.0168一0.0291一0.0041一0.09072一0.09125一121.33一90.51一PROD_000030一COMP_0029一29.65一30.58一2026-03-20 20:07:54一商品_30_3594一4583一110一111.39一1一267一251一269.63一311.14一31二91905一RQ_017一0.0119一0.021一0.0071一0.0084一0.02499一0.021126一77.15一46.47一PROD_000031一COMP_0019一28.44一29.28一2026-04-12 20:07:54一商品_31_6568一3903一143一53.1一1一156一151一157.6一298.71一32二91905一RQ_008一0.1249一0.0149一0.0093一0.0059一0.186101一0.223239一115.4一114.24一PROD_000032一COMP_0032一14.94一13.89一2026-04-07 20:07:54一商品_32_7325一4230一119一110.79一1一296一440一280.54一159.41一33二91905一RQ_015一0.1451一0.0072一0.029一0.0034一0.104472一0.087772一135.05一131.01一PROD_000033一COMP_0009一25.43一23.39一2026-04-21 20:07:54一商品_33_9864一38一0一166.57一0一486一503一504.73一246.27一34二91905一RQ_019一0.0196一0.0319一0.0277一0.01一0.062524一0.068696一176.44一120.83一PROD_000034一COMP_0002一13.3一12.23一2026-04-07 20:07:54一商品_34_4945一737一13一125.06一1一311一312一303.22一132.09一35二91905一RQ_018一0.03一0.0236一0.008一0.0026一0.0708一0.056906一119.87一127.04一PROD_000035一COMP_0031一24.24一26.19一2026-05-18 20:07:54一商品_35_5837一2950一101一131.64一1一205一199一219.16一264.96一36二91905一RQ_012一0.0484一0.0287一0.0207一0.0075一0.138908一0.113851一165.68一195.32一PROD_000036一COMP_0001一18.39一18.38一2026-04-15 20:07:54一商品_36_1546一2294一95一165.62一1一339一432一353.98一199.22一37二91905一RQ_011一0.1125一0.0054一0.0092一0.0075一0.06075一0.052868一205.87一219.31一PROD_000037一COMP_0037一4.4一4.43一2026-05-15 20:07:54一商品_37_7511一131一1一175.72一0一502一741一481.43一45.34一38二91905一RQ_011一0.0226一0.0203一0.0083一0.0013一0.045878一0.043466一108.67一80.43一PROD_000038一COMP_0035一22.6一21.52一2026-03-07 20:07:54一商品_38_1742一241一2一87.15一0一236一281一255.6一223.64一39二91905一RQ_009一0.1494一0.0067一0.0074一0.0054一0.100098一0.095639一158.42一141.52一PROD_000039一COMP_0002一11.44一12.47一2026-03-02 20:07:54一商品_39_7018一453一3一134.47一0一100一114一98.16一133.7一40
GROUP_0004,91905一RQ_011一0.0185一0.0145一0.0291一0.0095一0.026825一0.030304一186.33一91.97一PROD_000040一COMP_0034一3.2一3.02一2026-05-05 20:07:54一商品_40_1046一2495一71一125.92一1一310一292一330.45一30.56一41二91905一RQ_004一0.1483一0.0275一0.0241一0.0012一0.407825一0.467604一179.72一105.19一PROD_000041一COMP_0017一4.39一4.27一2026-05-13 20:07:54一商品_41_9543一929一17一148.26一1一230一202一209.92一88.98一42二91905一RQ_014一0.1001一0.0025一0.03一0.0085一0.025025一0.024287一137.99一86.23一PROD_000042一COMP_0019一3.68一3.84一2026-03-04 20:07:54一商品_42_4522一33一0一96.53一0一198一239一206.4一40.88一43二91905一RQ_014一0.1343一0.0213一0.0249一0.004一0.286059一0.312332一100.13一75.88一PROD_000043一COMP_0027一9.72一9.36一2026-04-11 20:07:54一商品_43_6793一1049一14一68.23一1一48一52一50.35一129.4一44二91905一RQ_001一0.1456一0.0304一0.0109一0.0058一0.442624一0.391765一64.34一42.56一PROD_000044一COMP_0027一19.87一18.77一2026-03-13 20:07:54一商品_44_5477一2352一122一46.23一1一120一177一127.64一231.17一45二91905一RQ_010一0.0591一0.0099一0.0047一0.0066一0.058509一0.048436一51.26一40.51一PROD_000045一COMP_0019一22.36一24.47一2026-04-15 20:07:54一商品_45_7947一3292一23一43.76一1一55一56一59.86一252.09一46二91905一RQ_019一0.0719一0.0144一0.0228一0.0012一0.103536一0.100633一130.49一74.9一PROD_000046一COMP_0031一8.86一9.18一2026-03-19 20:07:54一商品_46_9196一948一6一0一1一129一122一119.64一104.33一47二91905一RQ_011一0.0201一0.0432一0.0017一0.0003一0.086832一0.10146一150.42一110.28一PROD_000047一COMP_0035一25.93一26.32一2026-04-26 20:07:54一商品_47_2288一207一4一116.01一0一152一206一155.59一276.79一48二91905一RQ_009一0.1144一0.0119一0.0235一0.0009一0.136136一0.143391一153.13一186.69一PROD_000048一COMP_0025一16.15一15.16一2026-05-03 20:07:54一商品_48_8354一120一0一146.43一0一166一152一154.48一167.22一49二91905一RQ_019一0.0552一0.0486一0.0098一0.0045一0.268272一0.264937一124.21一88.38一PROD_000049一COMP_0036一19.13一20.26一2026-02-23 20:07:54一商品_49_8368一4202一113一118.71一1一168一168一172.86一227.94一50
GROUP_0005,91905一RQ_006一0.055一0.0243一0.005一0.0007一0.13365一0.112453一158.16一110.2一PROD_000050一COMP_0036一27.02一26.17一2026-05-11 20:07:54一商品_50_6482一362一10一137.15一0一219一255一204.05一271.33一51二91905一RQ_010一0.0232一0.0342一0.0089一0.0073一0.079344一0.084313一96.63一62.79一PROD_000051一COMP_0004一27.24一29.27一2026-05-16 20:07:54一商品_51_9624一3041一202一80.0一1一179一192一182.4一304.05一52二91905一RQ_013一0.0812一0.0019一0.0096一0.0095一0.015428一0.014451一163.52一157.95一PROD_000052一COMP_0005一23.1一21.68一2026-05-08 20:07:54一商品_52_3712一259一0一180.0一0一465一659一422.01一217.01一53二91905一RQ_001一0.0675一0.0341一0.0075一0.0045一0.230175一0.210373一111.93一130.49一PROD_000053一COMP_0028一22.58一22.35一2026-03-07 20:07:54一商品_53_5096一2089一74一110.1一1一315一469一312.59一249.2一54二91905一RQ_015一0.1324一0.0282一0.0035一0.0085一0.373368一0.425814一101.68一55.91一PROD_000054一COMP_0003一8.91一9.38一2026-02-21 20:07:54一商品_54_6221一1251一67一70.92一1一74一0一71.77一133.74一55二91905一RQ_010一0.1208一0.0077一0.009一0.0083一0.093016一0.100311一78.19一72.73一PROD_000055一COMP_0006一4.59一4.78一2026-04-17 20:07:54一商品_55_2029一2266一30一97.29一1一182一238一183.01一53.31一56二91905一RQ_015一0.0935一0.0018一0.0157一0.0025一0.01683一0.014431一72.13一72.6一PROD_000056一COMP_0007一13.16一13.46一2026-03-22 20:07:54一商品_56_1266一268一0一66.08一0一44一51一44.06一135.74一57二91905一RQ_002一0.0583一0.0369一0.019一0.0077一0.215127一0.235365一153.24一90.09一PROD_000057一COMP_0022一10.31一9.37一2026-04-24 20:07:54一商品_57_7524一4420一236一111.9一1一282一238一297.58一114.23一58二91905一RQ_015一0.0455一0.0379一0.0061一0.0036一0.172445一0.191817一51.47一60.04一PROD_000058一COMP_0034一26.04一25.16一2026-03-13 20:07:54一商品_58_9937一3667一140一48.67一1一47一60一45.75一270.03一59二91905一RQ_010一0.0244一0.0171一0.0092一0.0045一0.041724一0.045357一127.04一121.04一PROD_000059一COMP_0018一5.42一5.36一2026-05-15 20:07:54一商品_59_8179一2749一68一97.07一1一240一201一248.22一54.74一60
GROUP_0006,91905一RQ_004一0.0194一0.0391一0.0113一0.0039一0.075854一0.077894一182.73一199.52一PROD_000060一COMP_0002一18.35一19.01一2026-04-16 20:07:54一商品_60_4515一271一11一172.32一0一221一0一241.35一202.02一61二91905一RQ_009一0.1072一0.0499一0.0064一0.0014一0.534928一0.443787一245.56一229.97一PROD_000061一COMP_0039一5.59一5.83一2026-03-15 20:07:54一商品_61_3275一3346一261一179.59一1一336一337一322.56一99.42一62二91905一RQ_015一0.0137一0.0281一0.0114一0.0081一0.038497一0.039292一114.56一86.42一PROD_000062一COMP_0015一18.55一17.01一2026-03-13 20:07:54一商品_62_3114一3854一187一76.39一1一52一76一53.48一177.81一63二91905一RQ_016一0.1375一0.0037一0.0042一0.0016一0.050875一0.044051一119.46一101.31一PROD_000063一COMP_0027一10.02一10.44一2026-05-08 20:07:54一商品_63_6531一128一0一81.9一0一236一234一241.9一109.72一64二91905一RQ_001一0.1255一0.0024一0.0018一0.0065一0.03012一0.031045一115.36一92.38一PROD_000064一COMP_0036一19.71一20.76一2026-03-30 20:07:54一商品_64_6231一2974一8一92.49一1一232一296一222.6一210.55一65二91905一RQ_012一0.0283一0.0192一0.0171一0.0033一0.054336一0.053607一44.66一41.43一PROD_000065一COMP_0022一8.39一7.97一2026-04-22 20:07:54一商品_65_1379一2533一94一44.52一1一122一167一132.58一90.02一66二91905一RQ_012一0.0808一0.0484一0.0068一0.0036一0.391072一0.320764一144.72一130.96一PROD_000066一COMP_0005一15.1一16.25一2026-04-16 20:07:54一商品_66_5582一220一7一128.14一0一148一156一145.14一193.2一67二91905一RQ_019一0.0266一0.0488一0.0121一0.008一0.129808一0.121453一69.22一59.86一PROD_000067一COMP_0039一28.2一29.64一2026-03-28 20:07:54一商品_67_6511一19一0一59.86一0一79一89一78.32一309.68一68二91905一RQ_016一0.0845一0.0357一0.0093一0.0082一0.301665一0.28578一159.61一133.45一PROD_000068一COMP_0032一20.38一22.34一2026-04-07 20:07:54一商品_68_3421一305一13一117.56一0一343一462一361.94一248.68一69二91905一RQ_001一0.0902一0.0353一0.0061一0.0045一0.318406一0.308062一129.28一103.48一PROD_000069一COMP_0015一12.68一11.93一2026-05-16 20:07:54一商品_69_5331一361一9一105.27一0一107一109一110.47一154.23一70
GROUP_0007,91905一RQ_015一0.0369一0.0131一0.017一0.0023一0.048339一0.057483一79.02一54.38一PROD_000070一COMP_0039一9.28一8.89一2026-02-28 20:07:54一商品_70_6674一2740一33一61.09一1一118一139一127.34一91.11一71二91905一RQ_008一0.1146一0.0115一0.0249一0.0028一0.13179一0.135059一136.54一103.09一PROD_000071一COMP_0028一8.51一7.84一2026-04-19 20:07:54一商品_71_8822一326一3一141.13一0一105一108一104.42一96.69一72二91905一RQ_009一0.055一0.0326一0.0273一0.001一0.1793一0.184617一245.39一137.26一PROD_000072一COMP_0012一16.29一17.02一2026-04-01 20:07:54一商品_72_5662一478一29一170.5一0一510一549一509.53一-22.17一73二91905一RQ_017一0.0834一0.0446一0.0045一0.0051一0.371964一0.338165一175.12一157.99一PROD_000073一COMP_0029一24.36一23.54一2026-03-02 20:07:54一商品_73_4027一377一16一139.67一0一172一218一161.44一268.49一74二91905一RQ_015一0.0553一0.0132一0.0082一0.0024一0.072996一0.080405一111.85一151.19一PROD_000074一COMP_0008一28.64一27.51一2026-04-06 20:07:54一商品_74_4618一31一0一138.43一0一230一209一238.56一285.04一75二91905一RQ_004一0.0769一0.0233一0.0297一0.0038一0.179177一0.19365一207.1一173.91一PROD_000075一COMP_0014一27.43一28.84一2026-04-25 20:07:54一商品_75_8239一269一7一150.3一0一339一289一343.35一308.49一76二91905一RQ_006一0.1104一0.025一0.027一0.0045一0.276一0.226942一136.49一126.47一PROD_000076一COMP_0007一4.39一4.32一2026-04-19 20:07:54一商品_76_1519一678一18一114.59一1一291一384一295.56一70.84一77二91905一RQ_013一0.0352一0.0076一0.0194一0.0073一0.026752一0.031715一140.28一90.13一PROD_000077一COMP_0018一11.55一12.45一2026-02-20 20:07:54一商品_77_5888一349一5一97.28一0一261一233一279.81一123.94一78二91905一RQ_017一0.0694一0.0196一0.0073一0.0047一0.136024一0.117259一119.12一158.74一PROD_000078一COMP_0029一6.06一6.51一2026-02-25 20:07:54一商品_78_3295一123一1一144.82一0一108一88一110.11一75.85一79二91905一RQ_009一0.0428一0.0459一0.0175一0.0058一0.196452一0.217868一240.54一163.5一PROD_000079一COMP_0032一24.64一23.34一2026-04-07 20:07:54一商品_79_9592一2961一124一161.44一1一305一370一319.35一250.66一80
GROUP_0008,91905一RQ_013一0.0672一0.0157一0.0059一0.0054一0.105504一0.094572一58.06一37.94一PROD_000080一COMP_0020一7.15一7.66一2026-03-24 20:07:54一商品_80_7179一3912一82一51.65一1一43一41一40.45一81.98一81二91905一RQ_019一0.0155一0.0046一0.0242一0.0059一0.00713一0.007619一168.08一206.8一PROD_000081一COMP_0038一6.9一6.5一2026-03-26 20:07:54一商品_81_7236一479一1一166.05一0一390一515一409.84一64.73一82二91905一RQ_017一0.1008一0.0161一0.0111一0.0088一0.162288一0.160081一147.73一118.55一PROD_000082一COMP_0029一24.18一25.26一2026-05-01 20:07:54一商品_82_5026一3890一35一144.24一1一383一505一345.94一266.56一83二91905一RQ_017一0.1016一0.0346一0.0081一0.0082一0.351536一0.417134一74.93一44.28一PROD_000083一COMP_0031一19.43一19.39一2026-05-09 20:07:54一商品_83_4791一2007一130一55.24一1一102一127一93.0一237.3一84二91905一RQ_004一0.0113一0.0258一0.0115一0.0062一0.029154一0.031099一83.02一106.38一PROD_000084一COMP_0004一18.69一18.63一2026-03-09 20:07:54一商品_84_4948一8一0一103.18一0一122一181一110.22一193.51一85二91905一RQ_019一0.0837一0.0409一0.0084一0.004一0.342333一0.32495一171.05一198.24一PROD_000085一COMP_0012一12.48一12.64一2026-05-11 20:07:54一商品_85_6427一334一27一178.53一0一379一311一371.82一160.92一86二91905一RQ_003一0.1353一0.046一0.0073一0.009一0.62238一0.67025一215.68一146.4一PROD_000086一COMP_0036一17.22一16.43一2026-04-08 20:07:54一商品_86_9856一91一7一168.62一0一216一318一219.76一227.09一87二91905一RQ_012一0.1158一0.0079一0.0297一0.0073一0.091482一0.091511一132.55一86.42一PROD_000087一COMP_0021一29.24一26.63一2026-05-08 20:07:54一商品_87_5839一3173一13一95.56一1一113一168一112.79一277.25一88二91905一RQ_002一0.0215一0.0086一0.0215一0.0064一0.01849一0.020262一31.27一28.19一PROD_000088一COMP_0015一9.84一9.07一2026-04-08 20:07:54一商品_88_1202一1337一8一30.78一1一29一32一29.32一88.66一89二91905一RQ_013一0.0643一0.0052一0.0271一0.0091一0.033436一0.039831一78.15一76.72一PROD_000089一COMP_0018一17.37一16.22一2026-03-03 20:07:54一商品_89_3219一1695一5一87.11一1一138一151一137.56一167.43一90
GROUP_0009,91905一RQ_000一0.1428一0.0173一0.0188一0.0081一0.247044一0.2302一235.53一124.23一PROD_000090一COMP_0019一10.37一11.02一2026-04-09 20:07:54一商品_90_6980一2145一45一158.93一1一150一161一144.57一136.04一91二91905一RQ_018一0.038一0.0499一0.0058一0.0077一0.18962一0.153738一83.47一73.66一PROD_000091一COMP_0007一21.95一23.89一2026-05-05 20:07:54一商品_91_8851一419一37一61.45一0一152一193一141.03一253.51一92二91905一RQ_012一0.0848一0.0463一0.0262一0.0042一0.392624一0.319873一184.59一189.59一PROD_000092一COMP_0037一29.07一30.24一2026-03-03 20:07:54一商品_92_1172一393一15一151.84一0一328一300一335.39一339.06一93二91905一RQ_008一0.0411一0.0376一0.017一0.0069一0.154536一0.137292一169.31一104.28一PROD_000093一COMP_0006一11.54一11.45一2026-04-19 20:07:54一商品_93_2599一247一6一131.93一0一203一299一187.41一127.78一94二91905一RQ_014一0.0546一0.0157一0.0244一0.0012一0.085722一0.097695一81.36一46.25一PROD_000094一COMP_0028一19.62一20.32一2026-03-15 20:07:54一商品_94_8365一282一3一54.65一0一103一151一97.48一212.29一95二91905一RQ_013一0.0644一0.0355一0.0066一0.0075一0.22862一0.256853一149.68一144.01一PROD_000095一COMP_0037一2.35一2.16一2026-05-15 20:07:54一商品_95_5873一1433一45一160.8一1一427一499一438.88一45.76一96二91905一RQ_018一0.0219一0.0076一0.004一0.0031一0.016644一0.014534一83.14一86.27一PROD_000096一COMP_0039一20.96一21.01一2026-04-04 20:07:54一商品_96_1157一249一2一92.74一0一207一259一227.7一209.7一97二91905一RQ_004一0.0373一0.0198一0.0171一0.0066一0.073854一0.07117一88.57一100.37一PROD_000097一COMP_0031一15.01一15.64一2026-04-28 20:07:54一商品_97_7010一149一1一96.58一0一102一102一107.73一163.63一98二91905一RQ_001一0.1164一0.0226一0.0069一0.0043一0.263064一0.287896一132.61一138.28一PROD_000098一COMP_0034一19.78一18.78一2026-03-16 20:07:54一商品_98_4390一224一9一161.22一0一127一173一119.63一217.69一99二91905一RQ_018一0.0591一0.0148一0.0164一0.0033一0.087468一0.094607一236.44一175.77一PROD_000099一COMP_0003一9.04一8.62一2026-05-15 20:07:54一商品_99_7434一69一1一158.7一0一391一564一429.51一93.16一100
