prod_id,comp_id,rqvae_id,x_曝光配额,y_冷启成功,sim_time_to_first_ab,priority_score,ipv_roi_自然,proxy_ctr,proxy_cvr_pay,is_broken_zero,base_time_to_first_ab,imps_needed_to_break_xiuzheng,real_imps,prod_name
PROD_000000,COMP_0007,RQ_000,0.0,0,0.0,188.18,16.59,0.1138,0.0011,0,0.0,86.0,287,商品_0_4527
PROD_000001,COMP_0021,RQ_003,0.0,1,175.97,221.15,22.03,0.023,0.0061,1,175.97,103.0,2075,商品_1_6820
PROD_000002,COMP_0013,RQ_008,0.0,0,70.49,118.61,7.72,0.1083,0.0064,0,70.49,142.0,350,商品_2_9179
PROD_000003,COMP_0025,RQ_014,0.0,1,84.3,137.13,13.14,0.03,0.0054,1,84.3,202.0,1244,商品_3_1188
PROD_000004,COMP_0007,RQ_017,0.0,0,137.95,48.98,0.6,0.1151,0.003,0,137.95,414.0,445,商品_4_1319
PROD_000005,COMP_0007,RQ_011,5000.0,1,1.0,327.35,28.44,0.133,0.0007,0,102.9,270.0,65,商品_5_7118
PROD_000006,COMP_0028,RQ_016,0.0,0,136.18,171.56,17.86,0.0732,0.0003,0,136.18,241.0,440,商品_6_4119
PROD_000007,COMP_0006,RQ_003,0.0,0,39.09,222.15,19.78,0.1023,0.0087,0,39.09,63.0,127,商品_7_9856
PROD_000008,COMP_0000,RQ_002,0.0,1,86.85,169.79,12.33,0.1397,0.0049,1,86.85,375.0,2836,商品_8_1936
PROD_000009,COMP_0003,RQ_018,5000.0,1,1.0,271.6,25.61,0.0768,0.0007,0,40.19,89.0,296,商品_9_5915
PROD_000010,COMP_0029,RQ_010,0.0,0,105.88,102.45,3.45,0.1401,0.0062,0,105.88,141.0,450,商品_10_2697
PROD_000011,COMP_0008,RQ_008,0.0,0,125.14,205.01,21.67,0.0262,0.0028,0,125.14,267.0,47,商品_11_2232
PROD_000012,COMP_0009,RQ_017,0.0,0,175.83,128.39,11.26,0.015,0.0044,0,175.83,610.0,341,商品_12_1406
PROD_000013,COMP_0011,RQ_010,0.0,0,87.38,74.67,5.2,0.1195,0.0074,0,87.38,164.0,418,商品_13_9346
PROD_000014,COMP_0025,RQ_017,5000.0,1,119.49,271.07,29.51,0.0564,0.0027,1,119.49,306.0,4689,商品_14_6967
PROD_000015,COMP_0027,RQ_002,5000.0,1,1.0,321.85,27.05,0.1428,0.0067,0,130.03,471.0,98,商品_15_6279
PROD_000016,COMP_0029,RQ_014,0.0,0,107.32,59.3,5.51,0.0719,0.009,0,107.32,243.0,344,商品_16_7291
PROD_000017,COMP_0031,RQ_012,0.0,0,56.38,56.61,3.64,0.0442,0.0075,0,56.38,164.0,285,商品_17_7991
PROD_000018,COMP_0035,RQ_014,0.0,0,108.19,251.05,19.31,0.1356,0.0027,0,108.19,130.0,365,商品_18_8633
PROD_000019,COMP_0026,RQ_001,5000.0,1,87.06,279.37,25.77,0.039,0.0059,1,87.06,276.0,3932,商品_19_8657
PROD_000020,COMP_0008,RQ_019,0.0,1,57.26,175.58,13.14,0.0848,0.0067,1,57.26,153.0,3177,商品_20_2124
PROD_000021,COMP_0002,RQ_000,0.0,0,62.69,216.35,20.25,0.1429,0.0016,0,62.69,130.0,310,商品_21_4249
PROD_000022,COMP_0004,RQ_018,0.0,1,177.58,210.78,18.21,0.1067,0.0077,1,177.58,304.0,3535,商品_22_9548
PROD_000023,COMP_0017,RQ_019,0.0,0,154.61,129.92,8.42,0.1231,0.0044,0,154.61,333.0,384,商品_23_5526
PROD_000024,COMP_0035,RQ_000,0.0,1,136.78,84.75,7.59,0.0823,0.0041,1,136.78,190.0,2315,商品_24_5118
PROD_000025,COMP_0014,RQ_003,0.0,1,71.47,79.65,6.15,0.111,0.0095,1,71.47,92.0,1323,商品_25_9042
PROD_000026,COMP_0006,RQ_000,5000.0,1,1.0,302.01,28.26,0.0904,0.0019,0,153.32,295.0,77,商品_26_8253
PROD_000027,COMP_0019,RQ_018,5000.0,1,1.0,295.99,28.45,0.1486,0.0061,0,61.65,34.0,282,商品_27_4241
PROD_000028,COMP_0027,RQ_003,0.0,0,142.34,74.48,5.39,0.0862,0.0083,0,142.34,467.0,239,商品_28_4750
PROD_000029,COMP_0036,RQ_018,5000.0,1,127.73,285.15,22.81,0.1431,0.0028,1,127.73,231.0,4528,商品_29_1601
PROD_000030,COMP_0029,RQ_002,5000.0,1,111.39,311.14,29.65,0.054,0.0041,1,111.39,251.0,4583,商品_30_3594
PROD_000031,COMP_0019,RQ_017,5000.0,1,53.1,298.71,28.44,0.0119,0.0084,1,53.1,151.0,3903,商品_31_6568
PROD_000032,COMP_0032,RQ_008,0.0,1,110.79,159.41,14.94,0.1249,0.0059,1,110.79,440.0,4230,商品_32_7325
PROD_000033,COMP_0009,RQ_015,0.0,0,166.57,246.27,25.43,0.1451,0.0034,0,166.57,503.0,38,商品_33_9864
PROD_000034,COMP_0002,RQ_019,0.0,1,125.06,132.09,13.3,0.0196,0.01,1,125.06,312.0,737,商品_34_4945
PROD_000035,COMP_0031,RQ_018,5000.0,1,131.64,264.96,24.24,0.03,0.0026,1,131.64,199.0,2950,商品_35_5837
PROD_000036,COMP_0001,RQ_012,0.0,1,165.62,199.22,18.39,0.0484,0.0075,1,165.62,432.0,2294,商品_36_1546
PROD_000037,COMP_0037,RQ_011,0.0,0,175.72,45.34,4.4,0.1125,0.0075,0,175.72,741.0,131,商品_37_7511
PROD_000038,COMP_0035,RQ_011,0.0,0,87.15,223.64,22.6,0.0226,0.0013,0,87.15,281.0,241,商品_38_1742
PROD_000039,COMP_0002,RQ_009,0.0,0,134.47,133.7,11.44,0.1494,0.0054,0,134.47,114.0,453,商品_39_7018
PROD_000040,COMP_0034,RQ_011,0.0,1,125.92,30.56,3.2,0.0185,0.0095,1,125.92,292.0,2495,商品_40_1046
PROD_000041,COMP_0017,RQ_004,0.0,1,148.26,88.98,4.39,0.1483,0.0012,1,148.26,202.0,929,商品_41_9543
PROD_000042,COMP_0019,RQ_014,0.0,0,96.53,40.88,3.68,0.1001,0.0085,0,96.53,239.0,33,商品_42_4522
PROD_000043,COMP_0027,RQ_014,0.0,1,68.23,129.4,9.72,0.1343,0.004,1,68.23,52.0,1049,商品_43_6793
PROD_000044,COMP_0027,RQ_001,0.0,1,46.23,231.17,19.87,0.1456,0.0058,1,46.23,177.0,2352,商品_44_5477
PROD_000045,COMP_0019,RQ_010,0.0,1,43.76,252.09,22.36,0.0591,0.0066,1,43.76,56.0,3292,商品_45_7947
PROD_000046,COMP_0031,RQ_019,0.0,1,0,104.33,8.86,0.0719,0.0012,1,0.0,122.0,948,商品_46_9196
PROD_000047,COMP_0035,RQ_011,5000.0,1,1.0,276.79,25.93,0.0201,0.0003,0,116.01,206.0,207,商品_47_2288
PROD_000048,COMP_0025,RQ_009,0.0,0,146.43,167.22,16.15,0.1144,0.0009,0,146.43,152.0,120,商品_48_8354
PROD_000049,COMP_0036,RQ_019,0.0,1,118.71,227.94,19.13,0.0552,0.0045,1,118.71,168.0,4202,商品_49_8368
PROD_000050,COMP_0036,RQ_006,5000.0,1,1.0,271.33,27.02,0.055,0.0007,0,137.15,255.0,362,商品_50_6482
PROD_000051,COMP_0004,RQ_010,5000.0,1,80.0,304.05,27.24,0.0232,0.0073,1,80.0,192.0,3041,商品_51_9624
PROD_000052,COMP_0005,RQ_013,0.0,0,180.0,217.01,23.1,0.0812,0.0095,0,180.0,659.0,259,商品_52_3712
PROD_000053,COMP_0028,RQ_001,0.0,1,110.1,249.2,22.58,0.0675,0.0045,1,110.1,469.0,2089,商品_53_5096
PROD_000054,COMP_0003,RQ_015,0.0,1,70.92,133.74,8.91,0.1324,0.0085,1,70.92,0.0,1251,商品_54_6221
PROD_000055,COMP_0006,RQ_010,0.0,1,97.29,53.31,4.59,0.1208,0.0083,1,97.29,238.0,2266,商品_55_2029
PROD_000056,COMP_0007,RQ_015,0.0,0,66.08,135.74,13.16,0.0935,0.0025,0,66.08,51.0,268,商品_56_1266
